fecha;festius;festius_sun;festius_sun_sat
22/3/20;No;Yes;Yes
23/3/20;No;No;No
24/3/20;No;No;No
25/3/20;No;No;No
26/3/20;No;No;Yes
27/3/20;No;No;No
28/3/20;No;No;No
29/3/20;No;Yes;Yes
30/3/20;No;No;No
31/3/20;No;No;No
1/4/20;No;No;No
2/4/20;No;No;Yes
3/4/20;No;No;No
4/4/20;No;No;No
5/4/20;No;Yes;Yes
6/4/20;No;No;No
7/4/20;No;No;No
8/4/20;No;No;No
9/4/20;No;No;Yes
10/4/20;Yes;Yes;Yes
11/4/20;No;No;No
12/4/20;No;Yes;Yes
13/4/20;Yes;Yes;Yes
14/4/20;No;No;No
15/4/20;No;No;No
16/4/20;No;No;Yes
17/4/20;No;No;No
18/4/20;No;No;No
19/4/20;No;Yes;Yes
20/4/20;No;No;No
21/4/20;No;No;No
22/4/20;No;No;No
23/4/20;No;No;Yes
24/4/20;No;No;No
25/4/20;No;No;No
26/4/20;No;Yes;Yes
27/4/20;No;No;No
28/4/20;No;No;No
29/4/20;No;No;No
30/4/20;No;No;Yes
1/5/20;Yes;Yes;Yes
2/5/20;No;No;No
3/5/20;No;Yes;Yes
4/5/20;No;No;No
5/5/20;No;No;No
6/5/20;No;No;No
7/5/20;No;No;Yes
8/5/20;No;No;No
9/5/20;No;No;No
10/5/20;No;Yes;Yes
11/5/20;No;No;No
12/5/20;No;No;No
13/5/20;No;No;No
14/5/20;No;No;Yes
15/5/20;No;No;No
16/5/20;No;No;No
17/5/20;No;Yes;Yes
18/5/20;No;No;No
19/5/20;No;No;No
20/5/20;No;No;No
21/5/20;No;No;Yes
22/5/20;No;No;No
23/5/20;No;No;No
24/5/20;No;Yes;Yes
25/5/20;No;No;No
26/5/20;No;No;No
27/5/20;No;No;No
28/5/20;No;No;Yes
29/5/20;No;No;No
30/5/20;No;No;No
31/5/20;No;Yes;Yes
1/6/20;Yes;Yes;Yes
2/6/20;No;No;No
3/6/20;No;No;No
4/6/20;No;No;Yes
5/6/20;No;No;No
6/6/20;No;No;No
7/6/20;No;Yes;Yes
8/6/20;No;No;No
9/6/20;No;No;No
10/6/20;No;No;No
11/6/20;No;No;Yes
12/6/20;No;No;No
13/6/20;No;No;No
14/6/20;No;Yes;Yes
15/6/20;No;No;No
16/6/20;No;No;No
17/6/20;No;No;No
18/6/20;No;No;Yes
19/6/20;No;No;No
20/6/20;No;No;No
21/6/20;No;Yes;Yes
22/6/20;No;No;No
23/6/20;No;No;No
24/6/20;Yes;Yes;Yes
25/6/20;No;No;Yes
26/6/20;No;No;No
27/6/20;No;No;No
28/6/20;No;Yes;Yes
29/6/20;No;No;No
30/6/20;No;No;No
1/7/20;No;No;No
2/7/20;No;No;Yes
3/7/20;No;No;No
4/7/20;No;No;No
5/7/20;No;Yes;Yes
6/7/20;No;No;No
7/7/20;No;No;No
8/7/20;No;No;No
9/7/20;No;No;Yes
10/7/20;No;No;No
11/7/20;No;No;No
12/7/20;No;Yes;Yes
13/7/20;No;No;No
14/7/20;No;No;No
15/7/20;No;No;No
16/7/20;No;No;Yes
17/7/20;No;No;No
18/7/20;No;No;No
19/7/20;No;Yes;Yes
20/7/20;No;No;No
21/7/20;No;No;No
22/7/20;No;No;No
23/7/20;No;No;Yes
24/7/20;No;No;No
25/7/20;No;No;No
26/7/20;No;Yes;Yes
27/7/20;No;No;No
28/7/20;No;No;No
29/7/20;No;No;No
30/7/20;No;No;Yes
31/7/20;No;No;No
1/8/20;No;No;No
2/8/20;No;Yes;Yes
3/8/20;No;No;No
4/8/20;No;No;No
5/8/20;No;No;No
6/8/20;No;No;Yes
7/8/20;No;No;No
8/8/20;No;No;No
9/8/20;No;Yes;Yes
10/8/20;No;No;No
11/8/20;No;No;No
12/8/20;No;No;No
13/8/20;No;No;Yes
14/8/20;No;No;No
15/8/20;Yes;Yes;Yes
16/8/20;No;Yes;Yes
17/8/20;No;No;No
18/8/20;No;No;No
19/8/20;No;No;No
20/8/20;No;No;Yes
21/8/20;No;No;No
22/8/20;No;No;No
23/8/20;No;Yes;Yes
24/8/20;No;No;No
25/8/20;No;No;No
26/8/20;No;No;No
27/8/20;No;No;Yes
28/8/20;No;No;No
29/8/20;No;No;No
30/8/20;No;Yes;Yes
31/8/20;No;No;No
1/9/20;No;No;No
2/9/20;No;No;No
3/9/20;No;No;Yes
4/9/20;No;No;No
5/9/20;No;No;No
6/9/20;No;Yes;Yes
7/9/20;No;No;No
8/9/20;No;No;No
9/9/20;No;No;No
10/9/20;No;No;Yes
11/9/20;Yes;Yes;Yes
12/9/20;No;No;No
13/9/20;No;Yes;Yes
14/9/20;No;No;No
15/9/20;No;No;No
16/9/20;No;No;No
17/9/20;No;No;Yes
